row Name,Clip Start,Clip End,Accion,Accion: Time,Trifulca,Trifulca: Time,Laburo Interno,Laburo Interno: Time,Tackle,Tackle: Time,Laburo de pie,Laburo de pie: Time,Laburo de piso,Laburo de piso: Time,Pase,Pase: Time,Recuperada,Recuperada: Time,Aire,Aire: Time,Piso,Piso: Time,Penal,Penal: Time,Pelota Perdida,Pelota Perdida: Time,Pie,Pie: Time
Juan Martin Gonzalez,5690.892,5701.929,Laburo Interno,5698.892,,,+,5699.521,,,,,,,,,,,,,,,,,,,,
Marcos Kremer,5691.591,5702.389,Tackle,5699.365,,,,,+,5700.020,,,,,,,,,,,,,,,,,,
Thomas Gallo,5696.557,5707.574,Tackle,5704.557,,,,,+,5705.287,,,,,,,,,,,,,,,,,,
Juan Martin Gonzalez,5703.331,5714.360,Tackle,5711.331,,,,,+,5711.862,,,,,,,,,,,,,,,,,,
Juan Cruz Mallia,5703.851,5714.030,Tackle,5711.851,,,,,+,5712.554,,,,,,,,,,,,,,,,,,
Tomas Lavanini,5711.224,5722.239,Tackle,5719.224,,,,,+,5719.921,,,,,,,,,,,,,,,,,,
Thomas Gallo,5711.599,5722.633,Tackle,5719.599,,,,,+,5720.231,,,,,,,,,,,,,,,,,,
Agustin Creevy,5712.722,5719.582,Tackle,5720.722,,,,,-,5721.867,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,5713.835,5724.859,Tackle,5721.835,,,,,+,5722.452,,,,,,,,,,,,,,,,,,
Juan Cruz Mallia,5714.130,5724.298,Tackle,5721.274,,,,,+,5722.140,,,,,,,,,,,,,,,,,,
Joel Sclavi,5714.765,5725.823,Tackle,5722.765,,,,,+,5723.531,,,,,,,,,,,,,,,,,,
Santiago Carreras,5717.157,5728.182,Tackle,5725.157,,,,,+,5725.822,,,,,,,,,,,,,,,,,,
Pablo Matera,5717.787,5728.816,Tackle,5725.787,,,,,-,5726.351,,,,,,,,,,,,,,,,,,
Agustin Creevy,5719.682,5724.266,Penales,5724.758,,,,,,,,,,,,,,,,,,,Offside,5726.559,,,,
Agustin Creevy,5724.366,5729.902,Laburo Interno,5726.857,,,+,5727.753,,,,,,,,,,,,,,,,,,,,
Thomas Gallo,5857.232,5868.302,Tackle,5865.232,,,,,-,5866.018,,,,,,,,,,,,,,,,,,
Santiago Carreras,5987.193,5998.243,Kick,5995.193,,,,,,,,,,,,,,,,,,,,,,,Malo,5996.494
Juan Cruz Mallia,6265.127,6270.725,AEREO-PISO,6273.127,,,,,,,,,,,,,,,+,6273.960,,,,,,,,
Agustin Creevy,6269.327,6280.354,Trifulca,6277.327,+,6277.759,,,,,,,,,,,,,,,,,,,,,,
Marcos Kremer,6269.677,6280.724,Trifulca,6277.677,+,6278.423,,,,,,,,,,,,,,,,,,,,,,
Juan Cruz Mallia,6270.825,6276.412,Pase,6273.394,,,,,,,,,,,Bueno,6274.194,,,,,,,,,,,,
Rodrigo Bruni,6272.787,6283.838,Duelo,6280.787,,,,,,,+,6281.453,+,6282.087,,,,,,,,,,,,,,
Pablo Matera,6273.662,6284.706,Pase,6281.662,,,,,,,,,,,Bueno,6282.262,,,,,,,,,,,,
Lautaro Bazan Velez,6273.726,6284.754,Pase,6281.726,,,,,,,,,,,Bueno,6281.993,,,,,,,,,,,,
Santiago Carreras,6274.403,6285.443,Pase,6282.403,,,,,,,,,,,Bueno,6283.061,,,,,,,,,,,,
Juan Cruz Mallia,6277.994,6289.024,Pelota Perdida,6285.994,,,,,,,,,,,,,,,,,,,,,Knock on,6286.765,,
Lautaro Bazan Velez,6342.885,6353.935,Tackle,6350.885,,,,,+,6351.802,,,,,,,,,,,,,,,,,,
Santiago Carreras,6347.929,6358.943,Tackle,6355.929,,,,,+,6356.591,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6352.516,6363.558,Tackle,6360.516,,,,,-,6361.349,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,6353.909,6364.961,Tackle,6361.909,,,,,+,6362.706,,,,,,,,,,,,,,,,,,
Marcos Kremer,6357.206,6364.091,Laburo Interno,6365.206,,,-,6366.059,,,,,,,,,,,,,,,,,,,,
Pablo Matera,6361.784,6372.812,Tackle,6369.784,,,,,+,6370.667,,,,,,,,,,,,,,,,,,
Marcos Kremer,6364.191,6371.060,Penales,6368.020,,,,,,,,,,,,,,,,,,,Ruck,6369.137,,,,
Rodrigo Bruni,6366.157,6377.187,Tackle,6374.157,,,,,+,6374.722,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6371.699,6382.719,Tackle,6379.699,,,,,+,6380.383,,,,,,,,,,,,,,,,,,
Joel Sclavi,6375.156,6386.175,Tackle,6383.156,,,,,+,6384.155,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,6442.585,6453.621,Trifulca,6450.585,+,6451.521,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6443.576,6453.619,Trifulca,6451.576,+,6452.302,,,,,,,,,,,,,,,,,,,,,,
Tomas Albornoz,6444.059,6454.501,AEREO-PISO,6452.059,,,,,,,,,,,,,,,,,+,6453.093,,,,,,
Lautaro Bazan Velez,6446.099,6453.742,Pase,6454.099,,,,,,,,,,,Bueno,6454.424,,,,,,,,,,,,
Pablo Matera,6448.238,6459.269,Duelo,6456.238,,,,,,,+,6456.939,+,6457.731,,,,,,,,,,,,,,
Thomas Gallo,6449.034,6460.078,Trifulca,6457.034,+,6457.635,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6453.719,6461.947,Pase,6460.837,,,,,,,,,,,Bueno,6461.098,,,,,,,,,,,,
Lautaro Bazan Velez,6453.842,6461.490,Pase,6458.451,,,,,,,,,,,Bueno,6458.799,,,,,,,,,,,,
Tomas Albornoz,6454.601,6465.001,Pase,6461.958,,,,,,,,,,,Bueno,6462.220,,,,,,,,,,,,
Santiago Carreras,6455.254,6466.289,Pase,6463.254,,,,,,,,,,,Bueno,6463.469,,,,,,,,,,,,
Jeronimo De La Fuente,6457.185,6464.175,Pase,6465.185,,,,,,,,,,,Bueno,6465.418,,,,,,,,,,,,
Santiago Grondona,6461.234,6472.280,Pase,6469.234,,,,,,,,,,,Bueno,6470.035,,,,,,,,,,,,
Juan Cruz Mallia,6461.995,6473.046,Trifulca,6469.995,+,6470.797,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6462.047,6471.092,Trifulca,6468.058,+,6468.820,,,,,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6462.442,6473.494,Pase,6470.442,,,,,,,,,,,Bueno,6471.194,,,,,,,,,,,,
Jeronimo De La Fuente,6464.275,6471.270,Duelo,6468.219,,,,,,,+,6469.153,+,6470.056,,,,,,,,,,,,,,
Tomas Lavanini,6464.659,6475.705,Duelo,6472.659,,,,,,,+,6473.754,-,6474.642,,,,,,,,,,,,,,
Joel Sclavi,6466.829,6477.873,Trifulca,6474.829,+,6475.079,,,,,,,,,,,,,,,,,,,,,,
Santiago Grondona,6507.656,6518.677,AEREO-PISO,6515.656,,,,,,,,,,,,,,,+,6516.493,,,,,,,,
Rodrigo Bruni,6509.389,6520.429,Pase,6517.389,,,,,,,,,,,Bueno,6517.818,,,,,,,,,,,,
Lautaro Bazan Velez,6511.267,6522.340,Pase,6519.267,,,,,,,,,,,Bueno,6519.549,,,,,,,,,,,,
Tomas Albornoz,6513.187,6523.052,Pase,6521.187,,,,,,,,,,,Bueno,6521.482,,,,,,,,,,,,
Juan Cruz Mallia,6517.820,6528.854,Duelo,6525.820,,,,,,,+,6526.518,+,6527.352,,,,,,,,,,,,,,
Marcos Kremer,6522.059,6527.724,Trifulca,6530.059,-,6531.793,,,,,,,,,,,,,,,,,,,,,,
Tomas Albornoz,6523.152,6533.006,Duelo,6529.952,,,,,,,+,6530.767,+,6531.469,,,,,,,,,,,,,,
Marcos Kremer,6527.824,6533.496,Penales,6530.460,,,,,,,,,,,,,,,,,,,Ruck,6531.861,,,,
Agustin Creevy,6594.931,6604.941,Tackle,6602.931,,,,,-,6603.697,,,,,,,,,,,,,,,,,,
Marcos Kremer,6596.729,6605.640,Tackle,6604.729,,,,,+,6605.461,,,,,,,,,,,,,,,,,,
Pablo Matera,6600.031,6611.051,Tackle,6608.031,,,,,+++,6608.812,,,,,,,,,,,,,,,,,,
Agustin Creevy,6605.041,6615.050,Tackle,6612.002,,,,,+,6612.764,,,,,,,,,,,,,,,,,,
Thomas Gallo,6605.097,6616.131,Laburo Interno,6613.097,,,+,6613.865,,,,,,,,,,,,,,,,,,,,
Marcos Kremer,6605.740,6614.677,Tackle,6611.627,,,,,-,6612.229,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6613.231,6624.251,Tackle,6621.231,,,,,+,6621.949,,,,,,,,,,,,,,,,,,
Pablo Matera,6620.098,6631.232,Tackle,6628.098,,,,,+,6628.933,,,,,,,,,,,,,,,,,,
Thomas Gallo,6625.546,6636.576,Tackle,6633.546,,,,,-,6634.332,,,,,,,,,,,,,,,,,,
Agustin Creevy,6626.695,6637.730,Tackle,6634.695,,,,,+,6635.425,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6627.058,6634.890,Laburo Interno,6635.058,,,+,6634.889,,,,,,,,,,,,,,,,,,,,
Rodrigo Bruni,6634.990,6642.832,Pelota Recuperada,6639.791,,,,,,,,,,,,,Pescada,6640.893,,,,,,,,,,
Santiago Grondona,6678.859,6689.919,AEREO-PISO,6686.859,,,,,,,,,,,,,,,+,6687.559,,,,,,,,
Lautaro Bazan Velez,6680.598,6690.006,Pase,6688.598,,,,,,,,,,,Bueno,6689.333,,,,,,,,,,,,
Tomas Albornoz,6683.161,6694.190,Pase,6691.161,,,,,,,,,,,Bueno,6691.500,,,,,,,,,,,,
Marcos Kremer,6684.283,6695.304,Duelo,6692.283,,,,,,,+,6692.997,+,6693.755,,,,,,,,,,,,,,
Jeronimo De La Fuente,6684.800,6695.829,Trifulca,6692.800,+,6693.497,,,,,,,,,,,,,,,,,,,,,,
Tomas Lavanini,6686.233,6697.285,Trifulca,6694.233,+,6694.512,,,,,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6690.106,6697.110,Pase,6696.687,,,,,,,,,,,Bueno,6697.356,,,,,,,,,,,,
Thomas Gallo,6691.625,6702.675,Duelo,6699.625,,,,,,,+,6700.219,+,6701.086,,,,,,,,,,,,,,
Agustin Creevy,6691.935,6699.796,Trifulca,6699.935,+,6700.534,,,,,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6697.210,6705.437,Duelo,6702.389,,,,,,,+,6703.153,+,6704.437,,,,,,,,,,,,,,
Pablo Matera,6699.117,6710.156,Pase,6707.117,,,,,,,,,,,Bueno,6707.387,,,,,,,,,,,,
Agustin Creevy,6699.896,6707.759,Trifulca,6704.735,+,6705.002,,,,,,,,,,,,,,,,,,,,,,
Tomas Albornoz,6700.923,6710.458,Pase,6708.923,,,,,,,,,,,Bueno,6709.140,,,,,,,,,,,,
Joel Sclavi,6701.657,6712.675,Pase,6709.657,,,,,,,,,,,Bueno,6709.936,,,,,,,,,,,,
Tomas Lavanini,6703.928,6714.965,Duelo,6711.928,,,,,,,+,6712.691,-,6713.965,,,,,,,,,,,,,,
Rodrigo Bruni,6704.263,6715.316,Trifulca,6712.263,+,6712.961,,,,,,,,,,,,,,,,,,,,,,
Marcos Kremer,6704.905,6715.957,Trifulca,6712.905,+,6713.773,,,,,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6708.107,6719.148,Pase,6716.107,,,,,,,,,,,Bueno,6716.374,,,,,,,,,,,,
Tomas Albornoz,6710.558,6720.119,Pase,6717.072,,,,,,,,,,,Bueno,6717.851,,,,,,,,,,,,
Santiago Carreras,6711.585,6722.636,Kick,6719.585,,,,,,,,,,,,,,,,,,,,,,,Malo,6720.193
Rodrigo Bruni,6720.860,6731.899,Tackle,6728.860,,,,,+,6729.490,,,,,,,,,,,,,,,,,,
Pablo Matera,6727.814,6738.860,Tackle,6735.814,,,,,+++,6736.884,,,,,,,,,,,,,,,,,,
Marcos Kremer,6737.465,6748.527,Tackle,6745.465,,,,,+,6746.135,,,,,,,,,,,,,,,,,,
Thomas Gallo,6737.700,6748.727,Tackle,6745.700,,,,,+,6746.653,,,,,,,,,,,,,,,,,,
Emiliano Boffelli,6744.783,6755.802,Tackle,6752.783,,,,,+,6753.482,,,,,,,,,,,,,,,,,,
Agustin Creevy,6747.031,6758.147,Laburo Interno,6755.031,,,-,6755.932,,,,,,,,,,,,,,,,,,,,
Pablo Matera,6753.491,6765.523,Tackle,6761.491,,,,,+++,6762.225,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6757.684,6768.739,Tackle,6765.684,,,,,+,6766.351,,,,,,,,,,,,,,,,,,
Santiago Grondona,6761.989,6773.029,Tackle,6769.989,,,,,+,6770.957,,,,,,,,,,,,,,,,,,
Juan Cruz Mallia,6765.228,6776.261,Trifulca,6773.228,+,6773.898,,,,,,,,,,,,,,,,,,,,,,
Pablo Matera,6770.433,6781.454,Pase,6778.433,,,,,,,,,,,Bueno,6779.183,,,,,,,,,,,,
Joel Sclavi,6773.483,6784.509,Duelo,6781.483,,,,,,,+,6782.282,+,6783.083,,,,,,,,,,,,,,
Agustin Creevy,6775.362,6786.383,Trifulca,6783.362,+,6784.232,,,,,,,,,,,,,,,,,,,,,,
Lautaro Bazan Velez,6779.323,6790.352,Pase,6787.323,,,,,,,,,,,Bueno,6787.641,,,,,,,,,,,,
Tomas Albornoz,6781.763,6792.779,Pase,6789.763,,,,,,,,,,,Bueno,6790.140,,,,,,,,,,,,
Juan Cruz Mallia,6784.027,6795.062,Pelota Perdida,6792.027,,,,,,,,,,,Bueno,6792.428,,,,,,,,,,,,
Rodrigo Bruni,6786.022,6797.064,Tackle,6794.022,,,,,-,6794.802,,,,,,,,,,,,,,,,,,
Pablo Matera,6786.931,6797.997,Tackle,6794.931,,,,,+,6795.614,,,,,,,,,,,,,,,,,,
